,Unnamed: 0,Star_Names,Distance,Mass,Radius
0,0,SDSS J000013.54+255418.6 [de],46.1,0.99,2004.0
11,11,2MASS 0036+1821,28.6,0.94,2000.0
30,30,2MASS J02431371−2453298,35.0,0.99,2002.0
33,33,Teegarden's star,12.578,1.27,2003.0
36,36,DEN 0255-4700,16.2,0.97,2006.0
37,37,2MASS J03185403-3421292 [de],45.0,0.97,2008.0
41,41,2MASS J03264225-2102057 [de],80.0,1.3,2003.0
42,42,2MASS J03284265+2302051 [de],98.0,0.98,2000.0
45,45,2MASP J0345432+254023,88.0,1.05,1997.0
46,46,Teide 1,380.0,3.78,1995.0
48,48,2MASS J03552337+1133437,29.8,1.32,2006.0
50,50,2MASS J04151954−0935066,18.6,0.95,2002.0
52,52,2MASS J04285096-2253227 [de],85.0,1.09,2003.0
55,55,2MASS J04390101-2353083 [de],29.5,0.97,2003.0
58,58,2MASS J04455387-3048204 [de],42.0,1.0,2003.0
59,59,2MASS J04510093-3402150 [de],69.0,1.04,2003.0
60,60,2MASS J05002100+0330501 [de],44.0,1.0,2008.0
61,61,2MASS J05012406-0010452 [de],64.0,1.38,2008.0
62,62,2MASS J05160945-0445499 [de],73.0,0.97,2003.0
67,67,LSR 0602+3910 [de],34.6,1.41,2003.0
71,71,2MASS J06244595-4521548 [de],39.0,0.99,2008.0
72,72,2MASS J06411840-4322329 [de],65.0,1.01,2008.0
73,73,DENIS-P J0652197-253450 [de],51.0,1.05,2008.0
76,76,UGPS J072227.51-054031.2,13.4,0.98,2010.0
77,77,2MASSI J0727182+171001 [de],29.6,0.94,2002.0
78,78,2MASS J07290002-3954043 [de],25.8,0.94,2007.0
79,79,SDSS J074201.41+205520.5 [de],49.0,0.94,2004.0
81,81,DENIS-P J0751164-253043 [de],55.0,1.03,2008.0
83,83,DENIS J081730.0-615520,16.1,0.94,2010.0
86,86,2MASS J08251968+2115521 [de],35.0,0.98,2000.0
87,87,SDSSp J083008.12+482847.4 [de],43.0,0.99,2002.0
89,89,SDSS J083048.80+012831.1 [de],77.0,0.96,2004.0
90,90,2MASSI J0835425-081923 [de],23.53,1.0,2003.0
91,91,2MASSI J0847287-153237 [de],43.0,1.0,2003.0
93,93,2MASSI J0859254-194926 [de],50.0,0.98,2003.0
95,95,2MASSI J0937347+293142,20.0,0.94,2002.0
96,96,2MASS 0939−2448,17.4,0.95,2005.0
97,97,2MASS J09490860-1545485 [de],59.0,0.96,2005.0
99,99,2MASSI J1010148-040649 [de],55.0,0.98,2003.0
102,102,2MASS J10224821+5825453 [de],60.0,1.41,2008.0
103,103,2MASSW J1036530-344138 [de],53.0,0.97,2002.0
104,104,2MASS J1047538+212423 [de],34.4,0.94,1999.0
105,105,DEN 1048-3956,13.15,1.07,2000.0
106,106,Luhman 16B,6.516,1.02,2013.0
107,107,Luhman 16A,6.516,1.01,2013.0
108,108,DENIS-P J1058.7−1548,49.0,1.0,1997.0
110,110,Cha 110913-773444,163.0,1.8,2005.0
113,113,2MASS J11145133−2618235,18.2,0.96,2005.0
116,116,2MASS J11544223-3400390 [de],129.0,1.5,2003.0
117,117,2MASSW J1155395-372735 [de],31.0,1.0,2002.0
121,121,2MASSI J1217110-031113 [de],36.0,0.94,1999.0
124,124,2M 1237+6526,45.6,0.94,2003.0
127,127,SDSSp J125453.90-012247.4 [de],38.0,0.98,2000.0
128,128,Kelu-1A,61.0,0.98,1997.0
129,129,Kelu-1B,61.0,0.98,1997.0
131,131,SDSSp J132629.82-003831.5 [de],65.0,0.97,2000.0
132,132,SDSSp J134646.45-003150.4 [de],48.0,0.94,2000.0
135,135,SDSS J141659.78+500626.4 [de],149.0,0.99,2006.0
136,136,DENIS-P J142527.97-365023.4 [de],38.0,1.32,2004.0
140,140,2MASS J14482563+1031590 [de],47.0,0.99,2003.0
141,141,CFBDSIR 1458+10A,104.0,1.5,2010.0
142,142,CFBDSIR 1458+10B,104.0,1.3,2010.0
144,144,2MASS 1503+2525,20.7,0.94,2003.0
146,146,2MASSW J1506544+132106 [de],46.0,1.02,2000.0
147,147,2MASS 1507−1627,23.9,0.99,2000.0
150,150,2MASSW J1515008+484742 [de],34.0,0.99,2003.0
151,151,2MASSI J1526140+204341 [de],67.0,0.98,2000.0
152,152,DENIS-P J153941.96-052042.4 [de],51.0,1.0,2004.0
153,153,2MASS J15462718-3325111 [de],37.0,0.94,2002.0
154,154,2MASSW J1552591+294849 [de],68.0,1.43,2003.0
155,155,2MASSW J1555157-095605 [de],44.0,1.03,2002.0
156,156,2MASS J16150413+1340079 [de],48.0,0.94,2007.0
157,157,SDSSp J162414.37+002915.6 [de],36.0,0.94,1999.0
158,158,2MASS J16262034+3925190 [de],110.0,1.03,2004.0
159,159,2MASSW J1632291+190441 [de],50.0,0.97,1999.0
161,161,LSPM J1658+7027 [de],60.0,1.04,2000.0
166,166,LSR J1835+3259,18.5,1.07,2003.0
174,174,PSO J318.5−22,80.0,1.53,2013.0
182,182,2MASS J22282889-4310262,35.0,0.94,2013.0
226,226,WISE 0410+1502,20.0,1.17,2010.0
230,230,WISE 0458+6434A,35.9,4.2,2010.0
231,231,WISE 0458+6434B,35.9,3.8,2010.0
285,285,WISE 1405+5534,25.3,0.86,2010.0
